Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HomeButtons\Hardware\PCB\mini_rev_1.0\Project Outputs for Free Documents\Pick Place\Pick Place for HB_mini_alt_PCB.csv

========================================================================================================================
File Design Information:

Date:       09/03/23
Time:       19:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C19","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","-16.3764","14.8000","180","Cap Ceramic 22uF 10V X5R ±10% SMD 1206"
"C18","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","25.6750","16.9750","0","CAP CER 1UF 50V X5R 0603"
"C17","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-7.8000","-21.3500","270","CAP CER 1UF 50V X5R 0603"
"C16","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-6.0750","-21.3500","270","CAP CER 1UF 50V X5R 0603"
"C15","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-4.3500","-21.3500","270","CAP CER 1UF 50V X5R 0603"
"C14","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-2.6250","-21.3500","270","CAP CER 1UF 50V X5R 0603"
"C13","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-0.9000","-21.3500","270","CAP CER 1UF 50V X5R 0603"
"C12","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","0.8250","-21.3500","270","CAP CER 1UF 50V X5R 0603"
"C11","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","5.7500","-21.3000","270","CAP CER 1UF 50V X5R 0603"
"C10","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","7.4750","-21.3000","270","CAP CER 1UF 50V X5R 0603"
"C9","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-10.8000","-22.4000","270","CAP CER 1UF 50V X5R 0603"
"C8","CL21A475KAQNNNE","TopLayer","FP-CL21-IPC_A","-15.4500","-15.4250","180","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C7","CL21A475KAQNNNE","TopLayer","FP-CL21-IPC_A","-15.5500","-21.7000","0","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C6","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-17.0520","-26.0250","180","CAP CER 1UF 50V X5R 0603"
"C5","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","11.5500","21.8500","90","Cap Ceramic 22uF 10V X5R ±10% SMD 1206"
"C4","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","13.5250","21.0520","90","CAP CER 1UF 50V X5R 0603"
"C3","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","18.1000","17.2000","270","CAP CER 1UF 50V X5R 0603"
"C2","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","15.8000","16.7000","0","CAP CER 1UF 50V X5R 0603"
"C1","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","16.4764","14.8000","0","Cap Ceramic 22uF 10V X5R ±10% SMD 1206"
"BT1","2xAAA SMD holder TH series","TopLayer","2xAAA_SMD_HOLDER_TH","24.8500","-1.1000","0",""
