Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HomeButtons\Hardware\PCB\mini_rev_1.0\Project Outputs for HomeButtons_mini\Pick Place\Pick Place for HB_mini_panel.csv

========================================================================================================================
File Design Information:

Date:       21/04/23
Time:       12:37
Revision:   5518b54b1a9671e4e6911368f641169c540d58a8
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","2.5500","-22.5500","90",""
"R1","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","3.9750","-22.5250","90",""
"Q2","BM3402","TopLayer","FP-SOT23-IPC_B","21.2250","15.7250","180","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23"
"Q1","BM3402","TopLayer","FP-SOT23-IPC_B","-15.4505","-18.3750","0","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23"
"LED4","EKINGLUX E6CC1206CWAY1UDA","TopLayer","EKINGLUX_E6CC1206CWAY1UDA","-20.0000","-20.0000","135","reverse mount SMD led, cool white"
"LED3","EKINGLUX E6CC1206CWAY1UDA","TopLayer","EKINGLUX_E6CC1206CWAY1UDA","20.0000","-20.0000","45","reverse mount SMD led, cool white"
"LED2","EKINGLUX E6CC1206CWAY1UDA","TopLayer","EKINGLUX_E6CC1206CWAY1UDA","-20.0000","20.0000","45","reverse mount SMD led, cool white"
"LED1","EKINGLUX E6CC1206CWAY1UDA","TopLayer","EKINGLUX_E6CC1206CWAY1UDA","20.0000","20.0000","135","reverse mount SMD led, cool white"
"L2","CBC3225T470KR","TopLayer","FP-CB3225-IPC_B","-11.2500","-17.7000","270","SMD Inductors 47uH ±10% 0.48A 0.871O 1210"
"L1","MCS0530-4R7MN2","TopLayer","MCS0530-4R7MN2_-_NEW","11.1000","17.4000","90","SMD Power inductio, selectable footprint"
"J3","SolderJumper","TopLayer","AislerRule_SolderJumper_1mm","-15.0000","17.6250","90",""
"J2","SolderJumper","TopLayer","AislerRule_SolderJumper_1mm","14.7000","12.7750","270",""
"J1","XFCN F0501-T-24-20T-R","TopLayer","XFCN_F0501-T-24-20T-R","0.0000","-15.9944","0","XFCN F0501-T-24-20T-R 0.5mm fpc top contacts, slide retentioner"
"D3","MBR0530","TopLayer","FP-425-04-IPC_B","-12.0500","-20.7000","180","DIODE SCHOTTKY 30V 500MA SOD123"
"D2","MBR0530","TopLayer","FP-425-04-IPC_B","-12.7500","-24.0000","270","DIODE SCHOTTKY 30V 500MA SOD123"
"D1","MBR0530","TopLayer","FP-425-04-IPC_B","-16.0500","-24.8500","180","DIODE SCHOTTKY 30V 500MA SOD123"
"C22","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-22.1000","-0.9000","270","CAP CER 1UF 50V X5R 0603"
"C21","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-18.1000","17.4730","270","CAP CER 1UF 50V X5R 0603"
"C20","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-6.3000","11.7000","180","CAP CER 1UF 50V X5R 0603"
"C19","CL31A107MQHNNNE","TopLayer","FP-CL31-IPC_B","-16.4500","15.0750","180","Cap Ceramic 100uF 6.3V X5R ±10% SMD 1206"
"C18","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","26.1479","18.4423","0","CAP CER 1UF 50V X5R 0603"
"C17","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-7.8000","-22.5500","270","CAP CER 1UF 50V X5R 0603"
"C16","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-6.0750","-22.5500","270","CAP CER 1UF 50V X5R 0603"
"C15","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-4.3500","-22.5500","270","CAP CER 1UF 50V X5R 0603"
"C14","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-2.6250","-22.5500","270","CAP CER 1UF 50V X5R 0603"
"C13","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-0.9000","-22.5500","270","CAP CER 1UF 50V X5R 0603"
"C12","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","0.8250","-22.5500","270","CAP CER 1UF 50V X5R 0603"
"C11","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","5.7500","-22.5000","270","CAP CER 1UF 50V X5R 0603"
"C10","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","7.4750","-22.5000","270","CAP CER 1UF 50V X5R 0603"
"C9","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-10.8500","-23.2000","270","CAP CER 1UF 50V X5R 0603"
"C8","CL21A475KAQNNNE","TopLayer","FP-CL21-IPC_A","-14.7000","-15.5000","180","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C7","CL21A475KAQNNNE","TopLayer","FP-CL21-IPC_A","-15.6250","-21.9750","90","CL21 Series 0805 4.7uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C6","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-17.1020","-26.8250","180","CAP CER 1UF 50V X5R 0603"
"C5","CL31A107MQHNNNE","TopLayer","FP-CL31-IPC_B","12.8000","22.8250","90","Cap Ceramic 100uF 6.3V X5R ±10% SMD 1206"
"C3","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","17.9500","18.4500","315","CAP CER 1UF 50V X5R 0603"
"C1","CL31A107MQHNNNE","TopLayer","FP-CL31-IPC_B","15.8500","16.2500","0","Cap Ceramic 100uF 6.3V X5R ±10% SMD 1206"
